acclist
-1
KY965816
HF545616
FP929042
FP929045
AP009256
CP023819
FP929043
CP022479
CP001107
CP007443
FP929046
CP024160
LN824140
HF545617
FP929054
CP013020
FP929038
CP010437
FP929053
LN590713
HG670306
AP018132
CP012801
CP000139
HE717013
FP929055
CP003040
FP929032
CP002010
LT907978
CP011531
CP000605
CP022412
CP012098
FP929034
CP018757
CP001071
CP028341
CP000678
CP015409
FP929049
CP009057
LN590682
LN590687
CP017803
AE014295
CP001840
CP007619
CP012937
LN590675
LN590714
CP002286
LN590694
FP929050
FP929044
LN590706
LN590686
LN596222
FP929039
CP002220
LN590690
FP929037
LN596718
FP929062
LN590693
CP001104
CP021420
CP003274
LL622090
CP002352
LN590688
CP000140
LL668091
AP018131
LN590696
CP015406
CP011307
LN590689
LN590705
LN590691
LT906459
AK443485
LN594987
FP929033
XR_002394014
CP018937
FP929041
LN590697
XR_002394036
LN590702
FP929061
LN590699
XR_001365443
CP006741
CP002794
CP002544
CP001106
CP015401
CP022464
LN590685
CP010412
LL575004
FP929060
LN590681
LN590709
LN595112
CP022754
CP014229
AP012323
CP011964
LN591218
LL675226
LN590676
LN596087
LL582544
LL653595
LN593806
LN594534
LT972185
CP011073
LN591051
MG298860
LN591795
LN590698
LN590769
AB737826
LN590978
CP012938
LN555523
LN590673
CP007456
LN590720
LT674125
CP014241
LN590831
CP016019
LN594502
CP007034
LN590753
LN590680
AP013105
LN590718
CP011965
LL579955
LT674123
CP013673
LT674124
LN590711
LK829830
LN590692
LM437890
CP010453
AP010888
LM456636
AE015928
LT990039
XR_002394001
LN590700
AP014658
FP929052
LN595600
XR_001162260
XM_006174962
AP012327
LN598550
LN590851
KT336255
LN590703
AP006841
XR_002394010
LT635479
FP929059
LN592354
LN590717
CP000419
CP001095
XR_001560983
